2025-09-30 00:21:39,372 | INFO | MAIN - START
2025-09-30 00:21:39,372 | INFO |  > FOCAL LOSS set to True
2025-09-30 00:21:39,372 | INFO |  > ALINGNMENT set to False
2025-09-30 00:21:39,372 | INFO |  > ATTENTION GATE set to -> Building: True, Damage: True
2025-09-30 00:21:39,375 | INFO | Command Line Args:
{
    "cfg": "/mnt/storage1/alpgenc/change_detection/ChangeMamba_AG/changedetection/configs/vssm1/vssm_base_224.yaml",
    "opts": null,
    "pretrained_weight_path": "/mnt/storage1/alpgenc/change_detection/ChangeMamba_AG/pretrained_weight/vssm_base_0229_ckpt_epoch_237.pth",
    "dataset": "xBD",
    "type": "train",
    "train_dataset_path": "/mnt/storage1/alpgenc/change_detection/xBD_complete_png/train_combined",
    "train_data_list_path": "/mnt/storage1/alpgenc/change_detection/xBD_complete_png/train_combined_list.txt",
    "test_dataset_path": "/mnt/storage1/alpgenc/change_detection/xBD_complete_png/test",
    "test_data_list_path": "/mnt/storage1/alpgenc/change_detection/xBD_complete_png/test_list.txt",
    "shuffle": true,
    "batch_size": 8,
    "crop_size": 256,
    "start_iter": 0,
    "cuda": true,
    "max_iters": 400000,
    "model_type": "MambaBDA_Base",
    "model_param_path": "/mnt/storage1/alpgenc/change_detection/ChangeMamba_AG/changedetection/deneme_saved_models/tr2025-09-30_00-21-38_MambaBDA_Base_xBD_FOCAL_AGBD",
    "resume": null,
    "learning_rate": 0.0001,
    "momentum": 0.9,
    "weight_decay": 0.005,
    "logfile": "/mnt/storage1/alpgenc/change_detection/ChangeMamba_AG/LOGLAR_CMAG/train_2025-09-30_00-21-38_MambaBDA_Base_xBD_FOCAL_AGBD.log",
    "extension": "png",
    "focal_loss": true,
    "enable_alignment": false,
    "enable_attn_gate_building": true,
    "enable_attn_gate_damage": true,
    "deterministic": false,
    "validations": 8
}
2025-09-30 00:21:39,375 | INFO | Starting in RANDOM mode / not deterministic.
2025-09-30 00:21:39,382 | INFO |  > ALIGNMENT params: alignment_args = AlignmentArgs(enabled=False, stages=None, mid_ch=None)
2025-09-30 00:21:39,382 | INFO |  > ATTENTION GATE params: attn_gate_args = AttentionGateArgs(enable_building_ag=True, enable_damage_ag=True)
2025-09-30 00:21:39,382 | INFO | ChangeMambaBDA class
2025-09-30 00:21:40,599 | INFO |  > FOCAL LOSS params: alpha = [0.6, 1.6, 1.1, 1.1], gamma = 1.5
2025-09-30 00:21:40,599 | INFO | ---------starting training-----------
2025-09-30 00:21:40,657 | INFO | VAL_STEP=6250, (number_of_validations = 8)
2025-09-30 00:22:15,794 | INFO | iter is 50 / 50000 [skipped    0] | loc. loss = 0.5807833672, classif. loss = 1.1085708141
2025-09-30 00:22:47,275 | INFO | iter is 100 / 50000 [skipped    1] | loc. loss = 0.3445119560, classif. loss = 1.5395487547
2025-09-30 00:23:19,436 | INFO | iter is 150 / 50000 [skipped    1] | loc. loss = 0.3247412145, classif. loss = 1.3138966560
2025-09-30 00:23:51,537 | INFO | iter is 200 / 50000 [skipped    1] | loc. loss = 0.3590258956, classif. loss = 1.1135996580
2025-09-30 00:24:23,681 | INFO | iter is 250 / 50000 [skipped    1] | loc. loss = 0.3737153411, classif. loss = 1.9069292545
2025-09-30 00:24:54,578 | INFO | iter is 300 / 50000 [skipped    3] | loc. loss = 0.4281095266, classif. loss = 1.7474834919
2025-09-30 00:25:26,731 | INFO | iter is 350 / 50000 [skipped    3] | loc. loss = 0.3152299821, classif. loss = 0.1659650952
2025-09-30 00:25:58,874 | INFO | iter is 400 / 50000 [skipped    3] | loc. loss = 0.3169369996, classif. loss = 0.8838253617
2025-09-30 00:26:30,954 | INFO | iter is 450 / 50000 [skipped    3] | loc. loss = 0.4597118199, classif. loss = 1.0321507454
2025-09-30 00:27:03,021 | INFO | iter is 500 / 50000 [skipped    3] | loc. loss = 0.2361672223, classif. loss = 0.5877286792
2025-09-30 00:27:35,177 | INFO | iter is 550 / 50000 [skipped    3] | loc. loss = 0.2922209203, classif. loss = 1.7775819302
2025-09-30 00:28:06,107 | INFO | iter is 600 / 50000 [skipped    5] | loc. loss = 0.5848672390, classif. loss = 0.9367228150
2025-09-30 00:28:38,281 | INFO | iter is 650 / 50000 [skipped    5] | loc. loss = 0.5282774568, classif. loss = 1.2198600769
2025-09-30 00:29:10,456 | INFO | iter is 700 / 50000 [skipped    5] | loc. loss = 0.3208670020, classif. loss = 1.1156952381
2025-09-30 00:29:42,096 | INFO | iter is 750 / 50000 [skipped    6] | loc. loss = 0.2828435898, classif. loss = 0.5190317631
2025-09-30 00:30:14,240 | INFO | iter is 800 / 50000 [skipped    6] | loc. loss = 0.2038693130, classif. loss = 2.0582189560
2025-09-30 00:30:46,311 | INFO | iter is 850 / 50000 [skipped    6] | loc. loss = 0.3194070458, classif. loss = 0.9896185398
2025-09-30 00:31:18,473 | INFO | iter is 900 / 50000 [skipped    6] | loc. loss = 0.3342371285, classif. loss = 1.0135087967
2025-09-30 00:31:50,041 | INFO | iter is 950 / 50000 [skipped    7] | loc. loss = 0.3257324994, classif. loss = 0.4755551815
